"","01-HLB_221116_neg_iaMSMS_02.mzML","01-HLB_221116_neg_iaMSMS_03.mzML","01-HLB_221116_neg_iaMSMS_04.mzML","02-HLB_221116_neg_iaMSMS_01.mzML","02-HLB_221116_neg_iaMSMS_02.mzML","02-HLB_221116_neg_iaMSMS_03.mzML","02-HLB_221116_neg_iaMSMS_04.mzML","03-HLB_221116_neg_iaMSMS_01.mzML","03-HLB_221116_neg_iaMSMS_02.mzML","03-HLB_221116_neg_iaMSMS_03.mzML","03-HLB_221116_neg_iaMSMS_04.mzML","04-HLB_221116_neg_iaMSMS_01.mzML","04-HLB_221116_neg_iaMSMS_02.mzML","04-HLB_221116_neg_iaMSMS_03.mzML","04-HLB_221116_neg_iaMSMS_04.mzML","05-HLB_221116_neg_iaMSMS_01.mzML","05-HLB_221116_neg_iaMSMS_02.mzML","05-HLB_221116_neg_iaMSMS_03.mzML","05-HLB_221116_neg_iaMSMS_04.mzML","06-HLB_221116_neg_iaMSMS_01.mzML","06-HLB_221116_neg_iaMSMS_02.mzML","06-HLB_221116_neg_iaMSMS_03.mzML","06-HLB_221116_neg_iaMSMS_04.mzML","07-HLB_221116_neg_iaMSMS_01.mzML","07-HLB_221116_neg_iaMSMS_02.mzML","07-HLB_221116_neg_iaMSMS_03.mzML","07-HLB_221116_neg_iaMSMS_04.mzML","08-HLB_221116_neg_iaMSMS_01.mzML","08-HLB_221116_neg_iaMSMS_02.mzML","08-HLB_221116_neg_iaMSMS_03.mzML","08-HLB_221116_neg_iaMSMS_04.mzML","09-HLB_221116_neg_iaMSMS_01.mzML","09-HLB_221116_neg_iaMSMS_02.mzML","09-HLB_221116_neg_iaMSMS_03.mzML","09-HLB_221116_neg_iaMSMS_04.mzML","10-HLB_221116_neg_iaMSMS_01.mzML","10-HLB_221116_neg_iaMSMS_02.mzML","10-HLB_221116_neg_iaMSMS_03.mzML","10-HLB_221116_neg_iaMSMS_04.mzML","11-HLB_221116_neg_iaMSMS_01.mzML","11-HLB_221116_neg_iaMSMS_02.mzML","11-HLB_221116_neg_iaMSMS_03.mzML","11-HLB_221116_neg_iaMSMS_04.mzML","12-HLB_221116_neg_iaMSMS_01.mzML","12-HLB_221116_neg_iaMSMS_02.mzML","12-HLB_221116_neg_iaMSMS_03.mzML","12-HLB_221116_neg_iaMSMS_04.mzML","13-HLB_221116_neg_iaMSMS_01.mzML","13-HLB_221116_neg_iaMSMS_02.mzML","13-HLB_221116_neg_iaMSMS_03.mzML","13-HLB_221116_neg_iaMSMS_04.mzML","14-HLB_221116_neg_iaMSMS_r01.mzML","14-HLB_221116_neg_iaMSMS_r02.mzML","14-HLB_221116_neg_iaMSMS_r03.mzML","14-HLB_221116_neg_iaMSMS_r04.mzML","16-HLB_221116_neg_iaMSMS_01.mzML","16-HLB_221116_neg_iaMSMS_02.mzML","16-HLB_221116_neg_iaMSMS_03.mzML","16-HLB_221116_neg_iaMSMS_04.mzML","17-HLB_221116_neg_iaMSMS_02.mzML","17-HLB_221116_neg_iaMSMS_03.mzML","17-HLB_221116_neg_iaMSMS_04.mzML","18-HLB_221116_neg_iaMSMS_04.mzML","19-HLB_221116_neg_iaMSMS_01.mzML","19-HLB_221116_neg_iaMSMS_02.mzML","19-HLB_221116_neg_iaMSMS_03.mzML","19-HLB_221116_neg_iaMSMS_04.mzML","20-HLB_221116_neg_iaMSMS_01.mzML","20-HLB_221116_neg_iaMSMS_02.mzML","20-HLB_221116_neg_iaMSMS_03.mzML","20-HLB_221116_neg_iaMSMS_04.mzML"
"17567_103.04_10.605",3997.8875,3929.328,4095.135,5006.4434,5233.809,5465.926,5592.932,8603.153,8470.32,8581.201,8353.405,8094.7114,8249.084,8371.837,8206.195,10796.32,10596.274,10490.726,10778.097,10624.428,10679.838,10896.8955,11144.557,21487.535,21943.908,22135.055,22132.717,11488.027,11454.154,11708.586,11615.091,8330.693,8295.151,8583.224,8369.206,14394.7705,14738.226,14950.014,15027.626,15294.569,15268.247,15678.162,15195.425,30520.164,30834.912,31682.818,31875.95,12131.702,11734.304,12749.02,11900.869,18327.94,19100.506,19753.453,19886.727,29238.139,28421.963,29883.09,30034.707,16505.094,16538.955,16536.658,28220.836,13045.897,13186.241,13165.924,13729.026,5325.991,5039.306,5580.0127,5341.6694
"8472_103.04_8.261",87.97429,104.09408,100.574326,146.1014,124.74559,111.530945,153.4769,214.45314,207.06813,190.85919,184.72162,106.566696,95.01239,132.34293,205.19766,278.50644,240.33292,316.28595,273.68277,183.14256,194.72656,195.68698,195.3248,294.71808,363.00977,268.3728,337.45087,147.68872,214.73264,151.9462,101.680466,101.65013,139.93752,108.48322,194.61224,320.3871,312.83044,456.05133,377.50726,184.7646,238.93375,211.7791,267.1063,1064.7179,1107.4492,1112.3843,1066.2996,181.93623,201.76062,228.36646,259.91806,445.065,486.41223,403.88852,444.4058,268.82996,254.56729,217.26108,265.4232,232.53108,249.23155,235.67325,240.87405,342.4933,363.57312,385.67618,469.66324,396.13495,364.21185,325.8915,345.7606
"8715_103.053_8.332",220.08379,273.08463,237.24664,102.1023,85.41109,97.243935,105.34151,63.44007,37.96067,55.66072,120.40568,129.35527,160.1915,162.59303,105.7177,128.52579,199.35228,172.78815,195.93118,212.74988,94.52749,163.37982,230.79352,249.39357,204.00508,134.94855,279.76947,188.5069,221.85008,189.43123,263.8595,238.75522,201.1423,278.3962,211.35738,70.34654,62.360832,97.040634,117.60223,621.6378,545.9957,710.5281,758.6586,241.33391,208.06119,256.4476,195.26459,143.38722,101.48399,161.76764,107.60673,206.05293,106.81989,66.72464,216.93358,932.6151,864.0051,952.93805,789.6031,1039.4757,972.6928,952.86664,814.76953,728.579,737.96814,741.42053,687.90436,1016.14,945.66986,1079.758,1131.0267
"5225_103.054_7.433",19.217957,0,0,9.908016,0,0,0,0,0,0,0,0,24.90823,23.977024,0,7.0911374,0,0,0,0,0,0,0,10.750587,9.837406,27.33581,26.857864,0,15.716972,0,0,8.812413,11.96023,0,0,88.84482,29.749012,26.154213,52.133297,34.97708,138.96709,107.50427,133.74931,27.03329,19.463074,35.551743,56.148666,11.56859,0,0,0,11.81712,6.1982617,14.839067,0,477.12173,515.7521,427.62558,529.077,189.82259,241.35725,263.54434,110.15538,379.62424,323.8395,367.37732,358.21347,131.79727,135.02348,86.94656,127.12791
"11811_104.043_9.248",91.44828,97.90381,63.52746,106.131905,76.708206,148.01367,60.817467,204.31207,185.14607,275.49277,217.82845,140.26671,181.44731,143.3591,172.06148,250.2412,268.3801,265.9248,350.54965,288.0576,229.039,221.56203,270.2242,463.05914,495.98743,574.8204,471.56876,274.1629,211.446,249.32872,205.9816,187.29999,194.63234,163.32002,230.93512,376.15396,357.21826,344.5717,365.80313,195.65715,227.92938,260.60095,172.21118,838.0325,844.189,940.73145,885.83453,215.93713,236.5872,330.64667,267.5224,572.2744,467.18155,496.6023,502.46313,443.291,415.55444,395.73557,465.5816,157.00363,178.92192,222.91263,10214.706,469.83615,480.0979,381.55753,462.0622,338.73917,435.2422,406.9711,441.2546
"43254_108.007_21.052",497.17773,334.84943,242.02237,267.72104,576.6727,638.70496,0,2823.4402,358.7289,4198.1177,772.8569,532.9331,763.9074,699.903,312.15808,322.56107,516.17694,6055.663,470.64343,325.08417,796.9141,782.93744,2552.8184,760.0952,587.50964,2433.501,3552.9038,839.41003,450.4416,849.98584,1118.1205,433.0371,630.83325,723.717,0,391.4284,433.95032,788.5706,542.1426,876.79504,2448.226,780.1254,736.3839,460.29572,626.4116,791.5853,736.7429,664.0064,434.94037,608.38855,474.46692,560.54663,129.52477,155.33017,229.63351,222.93646,294.07278,1027.6615,504.5495,487.11676,349.33276,548.0183,1520.3903,141.87155,329.945,1781.9478,506.6077,1550.8284,143.5688,1859.1631,289.0199
"44058_108.007_21.729",696.2549,2578.9272,6989.623,663.8208,813.7408,766.68463,922.4297,2654.2527,1453.9918,3813.935,943.4634,986.6854,5074.5815,839.61694,968.9966,8760.599,912.6825,5150.545,966.0514,922.9039,3758.0776,1047.3374,3480.273,910.5997,2545.6558,0,699.5852,1755.037,884.39703,5037.509,739.26495,812.28503,880.8702,921.7065,874.30054,2499.321,997.9323,7292.905,8589.083,6889.61,2258.599,5982.832,1619.8851,1000.9014,5632.696,2195.7803,761.2935,629.3701,655.7728,2047.9713,6191.1367,461.14078,404.36826,383.0008,715.5386,331.91644,277.20004,363.39667,447.9485,418.17618,430.2481,1361.0276,874.349,532.8644,568.14136,507.22754,405.60446,386.2872,512.9806,1031.1072,2242.0762
"406_108.045_3.181",0,23.656876,21.363415,0,13.269093,0,0,15.125471,0,0,0,25.565813,0,0,18.510624,0,16.507961,23.60456,20.095514,15.431639,19.056955,28.987709,25.340511,262.25916,290.55222,282.30316,281.171,35.26035,65.43113,51.393723,88.381,0,13.632748,0,22.507586,34.48184,49.015812,32.08331,100.8761,213.1683,369.583,369.69452,315.60434,389.04453,382.0027,332.35706,394.92844,139.17955,152.77327,111.862976,105.523,135.48073,50.22628,129.52596,101.22258,806.21814,796.5557,963.0397,835.1129,557.55597,503.14175,681.7648,676.62366,351.33505,418.67233,348.243,414.78726,909.02814,874.5526,1071.2543,1009.2402
"3527_109.03_6.574",874.9334,1181.501,993.6814,774.63495,815.43304,1240.6382,1069.0486,2721.3652,4125.3804,4235.898,3249.6958,1557.7827,2165.6394,1427.9355,2162.4634,4424.8267,3223.597,5017.1187,4593.3936,3243.042,2459.0378,3563.9272,2446.148,7761.0166,5278.511,5788.951,5623.3096,1826.7433,1854.9973,1845.4674,1683.5598,2097.3345,2192.2375,1674.7981,1489.0814,5927.8584,6089.1997,6801.119,5898.47,0,0,37.55689,16.056725,18770.49,18324.744,18719.66,18367.791,2642.3499,2740.3245,2629.2944,2648.7227,5814.5645,5819.8857,5984.151,7045.286,0,0,0,0,0,0,0,0,2491.8428,2406.7495,2494.8987,2660.7197,0,0,17.458511,0
"6858_109.03_7.955",217.617,213.2688,200.91489,127.53588,150.0588,105.750595,89.148895,533.7995,561.05115,529.93604,488.34695,417.62952,381.91547,323.86362,370.406,603.88727,586.3757,634.1769,581.9795,592.2552,578.2271,600.61255,573.6229,942.2867,1124.4078,1077.1669,1102.0184,526.7729,544.07764,472.9914,614.3284,375.9378,362.446,450.91418,356.33588,640.73846,644.2717,647.4501,607.5365,10.316767,0,0,0,1564.3239,1549.8508,1591.7338,1588.1742,301.60144,221.58351,310.07297,366.91022,787.4371,863.54266,746.2117,814.10925,12.491724,7.9064765,0,0,0,0,0,0,324.63217,303.90634,321.13388,374.2341,0,8.72601,0,0
"3298_109.03_6.402",4274.0625,3165.7952,3447.725,3768.8572,3888.6023,2826.7388,3092.2058,12450.409,8733.355,8505.218,9294.999,6504.86,4557.737,6933.2407,4499.394,9428.892,14305.549,9333.864,9525.581,6782.4893,9884.571,6380.5615,7959.982,15560.277,23673.537,23768.729,24233.943,7582.873,5774.6704,6124.985,5888.813,4299.4995,4377.422,6644.912,5129.488,12502.087,12292.131,12282.75,12858.225,0,0,0,21.603031,36755.375,37313.984,37506.855,38710.504,5571.7153,5378.7334,5433.717,5192.0024,13419.2705,13811.644,14103.3545,13655.012,0,0,20.811735,0,0,0,0,0,5310.3584,5659.832,5236.307,5944.7085,0,0,16.50998,0
"3445_110.033_6.57",14.568146,95.02701,109.73959,34.389,63.176495,55.604076,22.495342,284.24557,189.39098,239.8912,183.87057,105.25435,72.91742,134.1199,52.912346,242.28622,197.52289,332.38577,264.55957,160.77954,52.12508,125.060005,126.023384,259.42654,551.8353,630.2267,515.8375,89.14912,93.622444,71.59421,91.09064,155.85495,88.49771,108.30999,179.8921,308.04218,233.97208,280.87302,420.5327,9.848538,0,0,0,1133.3556,922.72845,2359.6626,900.29034,38.63743,21.429176,96.77498,219.48299,274.9159,227.55894,439.71585,333.71,0,0,0,0,0,0,17.959175,0,166.62335,135.83316,101.03142,174.22195,0,0,0,0
"4774_111.045_7.18",409.9066,480.65598,390.78497,387.7407,361.9593,351.1463,408.0438,672.2699,732.5222,725.3601,722.0822,495.22165,535.91473,498.396,486.14603,856.0396,883.37585,841.6529,903.7521,619.4842,689.9727,689.96185,634.0925,1576.8802,1449.4213,1457.0797,1538.066,441.1531,491.26877,460.14996,471.73663,447.85727,449.9765,521.8598,488.08765,925.53864,1010.5832,973.023,994.9361,0,0,0,0,1819.5013,1488.3334,1827.691,1600.0354,892.33624,1004.644,963.98596,903.364,1017.18915,1035.4691,1049.5504,1147.1332,0,0,0,0,0,0,0,0,442.7279,447.62256,526.53326,514.0856,0,12.735403,0,0
"9683_111.08_8.762",128.64365,109.13466,142.13652,61.93438,45.889774,58.628662,74.13545,194.19566,212.73428,206.67148,192.34166,351.23306,335.71356,423.59375,356.18295,434.12064,399.88,420.10895,454.22836,399.28363,519.13336,398.68787,462.74612,958.93884,997.1396,931.47504,937.0497,746.61414,643.2953,649.4165,703.8273,326.97543,374.63223,384.3582,379.49982,773.34753,770.68634,662.57214,840.55457,15.435453,0,0,0,1017.1823,1086.1388,978.23785,1083.7869,151.65404,175.50783,133.2857,170.39426,392.8459,405.64487,447.60956,469.332,13.16708,0,0,0,0,0,0,0,660.54913,654.208,601.44574,659.32025,0,0,0,0
"15137_111.081_9.962",2277.9998,2304.866,2341.0308,1668.3662,1589.1575,1722.5748,1376.2799,3672.3313,3730.1284,3471.9783,3394.8098,4090.3174,4002.1047,4231.3174,3957.3813,2972.8867,3048.924,3374.076,3179.7134,4452.589,4482.2275,4218.7188,3858.2065,3853.1572,3835.7747,4206.9653,3905.8518,4910.5874,4796.4883,4660.891,4668.6187,4424.9814,4598.558,4447.619,4465.0674,5447.3794,5433.4805,4982.9478,5049.488,0,0,0,0,6040.693,5956.7437,5786.724,5602.214,2943.9763,2972.8098,3046.182,2881.3135,5211.7363,5447.79,5882.4043,5469.59,0,0,0,0,0,0,0,0,5752.712,5662.967,5923.843,5667.1885,168.32309,0,0,0
"8899_115.039_8.436",202.71786,175.07716,201.02469,109.735886,151.30632,145.37642,149.40509,301.82837,296.45068,316.13226,267.8869,229.42355,228.13318,190.34814,216.68512,496.89056,547.94476,565.172,558.638,404.8692,424.50272,301.9115,666.5699,1419.9865,1346.4756,1218.3342,1384.194,588.47864,293.9033,338.7423,330.43216,275.8465,321.08072,399.66797,318.31128,743.36096,697.9104,1341.5475,1337.2593,0,0,0,0,2282.6372,1262.1869,2185.8394,2387.4177,257.3755,222.73604,378.3536,313.1908,1006.9258,1222.6991,828.1727,1457.4554,0,0,0,0,0,0,0,0,630.6976,587.44275,497.60596,534.39136,0,20.307293,27.800968,0
"11687_116.05_9.166",55.74451,54.432518,52.01596,31.824614,73.62712,69.889915,26.755638,59.695145,67.08542,67.64226,34.442993,59.681828,41.25908,103.52983,95.3418,106.39423,106.2829,134.98016,118.8302,140.13596,167.03084,133.38942,150.22285,211.79408,226.86316,162.70828,203.41861,105.81991,107.89453,120.79068,133.7104,107.35049,90.95584,65.03615,73.30035,93.55669,120.9873,102.770065,99.48613,333.81696,300.62103,362.1105,344.68134,170.0341,128.34637,141.55945,186.9329,90.30475,118.24987,110.419815,85.20805,134.77905,158.0802,131.72874,150.93758,627.7581,556.69806,522.91473,545.9354,504.32492,493.58203,463.31607,567.63696,110.52639,151.33954,151.74698,124.55496,582.44867,608.05597,588.4376,630.75543
"7051_116.051_8.047",0,0,0,7.2399855,10.382435,9.53008,32.61338,10.737704,8.904274,11.926264,31.68698,10.928625,12.061691,10.538467,0,29.591135,10.908931,0,0,21.961758,46.777718,11.630619,18.263126,63.284824,110.75959,77.84744,46.74115,35.122063,11.319897,12.874485,39.708202,16.130049,10.05056,9.654224,0,10.542668,21.626507,19.342573,20.63781,253.96411,297.1805,299.03998,290.1694,107.7783,111.041626,98.86958,119.32156,43.800262,10.047205,45.985966,55.476593,20.25473,20.676115,0,77.17394,793.9464,845.3348,817.9672,894.5052,690.7181,791.00507,695.49396,660.868,148.05872,129.22693,136.46289,153.78067,483.56592,493.09155,673.11975,642.2617
