"","01-HLB_221116_pos_iaMSMS_01.mzML","01-HLB_221116_pos_iaMSMS_02.mzML","01-HLB_221116_pos_iaMSMS_03.mzML","01-HLB_221116_pos_iaMSMS_04.mzML","02-HLB_221116_pos_iaMSMS_01.mzML","02-HLB_221116_pos_iaMSMS_02.mzML","02-HLB_221116_pos_iaMSMS_03.mzML","02-HLB_221116_pos_iaMSMS_04.mzML","03-HLB_221116_pos_iaMSMS_01.mzML","03-HLB_221116_pos_iaMSMS_02.mzML","03-HLB_221116_pos_iaMSMS_03.mzML","03-HLB_221116_pos_iaMSMS_04.mzML","04-HLB_221116_pos_iaMSMS_01.mzML","04-HLB_221116_pos_iaMSMS_02.mzML","04-HLB_221116_pos_iaMSMS_03.mzML","04-HLB_221116_pos_iaMSMS_04.mzML","05-HLB_221116_pos_iaMSMS_01.mzML","05-HLB_221116_pos_iaMSMS_02.mzML","05-HLB_221116_pos_iaMSMS_03.mzML","05-HLB_221116_pos_iaMSMS_04.mzML","06-HLB_221116_pos_iaMSMS_01.mzML","06-HLB_221116_pos_iaMSMS_02.mzML","06-HLB_221116_pos_iaMSMS_03.mzML","06-HLB_221116_pos_iaMSMS_04.mzML","07-HLB_221116_pos_iaMSMS_01.mzML","07-HLB_221116_pos_iaMSMS_02.mzML","07-HLB_221116_pos_iaMSMS_03.mzML","07-HLB_221116_pos_iaMSMS_04.mzML","08-HLB_221116_pos_iaMSMS_01.mzML","08-HLB_221116_pos_iaMSMS_02.mzML","08-HLB_221116_pos_iaMSMS_03.mzML","08-HLB_221116_pos_iaMSMS_04.mzML","09-HLB_221116_pos_iaMSMS_01.mzML","09-HLB_221116_pos_iaMSMS_02.mzML","09-HLB_221116_pos_iaMSMS_03.mzML","09-HLB_221116_pos_iaMSMS_04.mzML","10-HLB_221116_pos_iaMSMS_01.mzML","10-HLB_221116_pos_iaMSMS_02.mzML","10-HLB_221116_pos_iaMSMS_03.mzML","10-HLB_221116_pos_iaMSMS_04.mzML","11-HLB_221116_pos_iaMSMS_01.mzML","11-HLB_221116_pos_iaMSMS_02.mzML","11-HLB_221116_pos_iaMSMS_03.mzML","11-HLB_221116_pos_iaMSMS_04.mzML","12-HLB_221116_pos_iaMSMS_01.mzML","12-HLB_221116_pos_iaMSMS_02.mzML","12-HLB_221116_pos_iaMSMS_03.mzML","12-HLB_221116_pos_iaMSMS_04.mzML","13-HLB_221116_pos_iaMSMS_01.mzML","13-HLB_221116_pos_iaMSMS_02.mzML","13-HLB_221116_pos_iaMSMS_03.mzML","13-HLB_221116_pos_iaMSMS_04.mzML","14-HLB_221116_pos_iaMSMS_01.mzML","14-HLB_221116_pos_iaMSMS_02.mzML","14-HLB_221116_pos_iaMSMS_03.mzML","14-HLB_221116_pos_iaMSMS_04.mzML","16-HLB_221116_pos_iaMSMS_01.mzML","16-HLB_221116_pos_iaMSMS_02.mzML","16-HLB_221116_pos_iaMSMS_03.mzML","16-HLB_221116_pos_iaMSMS_04.mzML","17-HLB_221116_pos_iaMSMS_01.mzML","17-HLB_221116_pos_iaMSMS_02.mzML","17-HLB_221116_pos_iaMSMS_03.mzML","17-HLB_221116_pos_iaMSMS_04.mzML","18-HLB_221116_pos_iaMSMS_01.mzML","18-HLB_221116_pos_iaMSMS_02.mzML","18-HLB_221116_pos_iaMSMS_03.mzML","18-HLB_221116_pos_iaMSMS_04.mzML","19-HLB_221116_pos_iaMSMS_01.mzML","19-HLB_221116_pos_iaMSMS_02.mzML","19-HLB_221116_pos_iaMSMS_03.mzML","19-HLB_221116_pos_iaMSMS_04.mzML","20-HLB_221116_pos_iaMSMS_01.mzML","20-HLB_221116_pos_iaMSMS_02.mzML","20-HLB_221116_pos_iaMSMS_03.mzML","20-HLB_221116_pos_iaMSMS_04.mzML"
"181_107.542_4.778",0,84.15985,0,0,94.051346,123.42804,72.92929,124.50185,45.046585,0,107.40403,128.06473,67.98137,45.492523,68.19327,58.85299,25.751562,87.47297,0,66.362915,181.18494,175.89275,209.07516,126.02423,637.03015,743.0919,314.81467,332.7322,103.40759,99.79556,80.640854,127.96925,162.65292,162.9614,143.60732,166.56288,180.35054,203.15291,152.48425,146.46143,0,88.25365,65.11672,0,322.86456,322.676,297.01886,323.97244,277.42886,300.31934,244.59094,290.82892,828.6712,395.29706,471.41644,420.6659,385.60858,369.62854,307.5638,426.94818,127.6198,97.21059,126.414825,119.31949,329.62344,283.53513,274.66364,297.96875,348.3492,342.93127,397.76715,348.75458,1125.6831,992.9197,1084.9373,979.3472
"10639_109.097_19.786",2009.5736,2265.505,2205.0918,1676.7202,903.7348,986.91077,800.83813,916.6757,0,0,0,0,864.51794,1005.57837,917.577,669.6742,0,0,0,0,230.57956,395.28293,256.4275,0,728.5896,786.8893,745.4263,567.43823,0,0,0,0,2001.3522,1841.0706,1756.3835,1412.6796,2965.8152,3062.5798,2623.6377,2441.0464,200.08774,113.660614,247.07143,0,0,0,211.76642,0,1455.8175,1372.4476,1285.4581,1169.9634,2534.7976,2470.0024,2511.5686,2444.6301,1458.0607,1603.9182,1281.9664,1441.3247,656.9446,796.1015,540.82996,589.5425,131.42455,346.1715,281.95752,304.18842,0,0,0,0,0,0,0,0
"10854_109.098_20.125",2712.3306,2584.9873,2477.8364,2640.5913,1108.706,1161.4264,1164.7708,1116.8052,0,0,0,0,1046.7015,1046.8978,767.54016,1152.1018,0,0,0,0,518.4177,410.04837,313.7185,295.30542,1013.6063,981.3887,947.7086,993.05835,0,0,0,0,2496.4949,2314.6038,2296.9595,2271.5195,3995.817,3601.4412,3599.1523,3448.5615,527.704,169.77722,0,317.62747,0,0,0,0,1420.5996,1614.3258,1561.4199,1748.8252,3052.3828,3296.4258,2524.1245,3111.9614,1775.0334,1765.5972,1408.9359,1494.4861,772.3702,683.40894,525.5622,513.86566,376.0559,295.1772,369.5373,347.03995,0,0,0,0,0,0,0,0
"4182_109.1_9.765",1704.2705,1745.951,1699.7811,1605.6289,564.48596,608.85767,579.1359,453.83914,1957.2799,2046.9269,2059.8984,1783.9431,1465.3615,1345.6948,1480.9647,1386.3962,4563.2593,4549.0435,4600.385,4287.234,6664.2686,6755.464,6388.4194,6048.5103,4818.312,4873.5967,5091.065,5040.071,2375.9624,2334.3667,2154.3672,2013.3423,2333.164,2242.9407,2400.8125,2517.566,3613.2432,3584.4788,3486.72,3645.242,0,0,0,0,5994.2,5787.357,6200.701,6231.62,935.0965,1172.207,1137.0209,1024.7784,2127.0444,2071.5122,1830.134,1784.0686,0,0,0,0,0,0,0,0,0,0,0,0,2871.9238,2793.8406,3078.5342,2892.0222,0,0,0,0
"2510_111.075_8.199",3292.9785,5059.2666,4928.28,4340.1855,4593.15,3042.8457,2858.5142,4619.9673,4911.6543,5512.435,4942.0894,5105.891,9694.598,9991.6045,8971.519,9354.506,9453.456,9792.826,10192.398,4719.1133,11925.751,11315.904,11674.884,9577.018,3085.3567,3883.9438,6636.592,3849.9922,11315.247,6708.8315,8002.1875,7043.608,8259.22,11633.922,9711.274,9223.312,10921.494,5838.3735,5184.6616,4637.286,0,0,0,0,1231.2487,2390.0093,3882.1106,3090.4817,5258.032,8389.664,2806.9902,3245.334,4038.4097,7549.864,3900.5479,7221.678,41.49798,50.136826,0,0,0,0,0,0,0,0,0,0,10077.738,9882.479,3897.9805,4987.0273,0,0,0,0
"480_111.078_5.898",0,200.54976,0,116.183426,208.4447,88.41857,104.98538,110.55348,355.72696,419.34003,348.3457,456.99063,627.9173,515.77954,442.76892,710.1821,471.15445,550.4981,535.85925,510.6637,617.8649,574.87115,562.7971,435.3354,1062.38,1149.4519,1432.5479,666.3574,755.16943,781.6959,730.56964,553.33527,456.85516,769.829,355.1444,576.0034,686.804,1330.8505,1740.5634,571.2774,0,0,0,0,2432.636,874.82275,1093.044,2380.902,348.2461,295.75305,250.68869,250.63457,679.556,598.9059,657.4729,505.63776,0,0,0,0,0,0,0,0,0,0,0,0,747.3097,605.58496,415.98993,629.56177,0,0,0,0
"1227_111.079_7.157",711.57556,591.09875,741.1047,688.2562,498.92886,595.82404,563.8286,439.0387,1003.5939,1065.8943,999.0472,1113.005,1258.2351,1273.1365,1352.6675,1218.704,710.81116,850.19,882.4652,947.35876,948.58954,833.07874,1027.1858,974.067,1287.9387,1050.1471,1432.0944,1835.3,993.09924,1169.5791,983.6733,1437.4498,1066.3304,1495.3005,1029.855,850.72253,2206.1167,1870.9546,2229.1921,2444.5107,0,0,0,0,2081.6426,1856.1667,3077.6462,3037.2559,1255.6874,1030.3712,870.8398,1096.8506,1955.5308,1607.9059,1612.4552,1857.7064,0,0,0,0,0,0,0,0,0,0,0,0,2415.2844,2056.0295,2246.4092,2532.9792,0,0,0,0
"4411_111.079_10.041",385.4588,410.873,429.15253,438.8873,308.0998,261.90625,203.40533,297.9065,636.3943,644.53076,756.33386,1349.3158,721.99524,640.33405,521.13873,747.5885,1649.6677,1110.7499,1659.5682,1546.1143,487.02838,453.1191,938.77954,779.9189,2525.959,2224.8386,2696.2747,2624.1863,1039.53,932.5126,891.03955,1033.0942,705.34564,1291.521,937.13904,615.7408,2105.9597,2223.3113,2485.2974,2405.4866,0,0,0,0,3029.1702,2121.3364,2258.2297,3878.344,634.51385,659.1043,975.90265,576.51685,1629.7074,1104.9279,1686.187,1318.6846,0,0,0,0,0,0,0,0,0,0,0,0,935.87744,1004.896,1202.5569,898.25684,0,0,0,0
"41_111.087_2.605",147.65625,0,100.54936,0,0,0,0,27.272453,0,0,0,0,0,79.9354,0,47.965824,0,0,84.89438,87.54292,0,100.79522,0,0,3320.9458,2987.5508,3429.4355,3236.1953,38.97393,46.821503,80.612274,0,82.53929,222.77423,145.50896,141.30067,229.96387,0,0,122.56839,0,131.62537,0,122.45717,0,0,0,0,0,0,0,0,258.48297,0,0,289.90942,0,60.24231,47.82564,0,0,0,0,0,125.850296,79.70806,0,0,0,86.57243,67.1865,0,0,0,0,0
"152_111.088_4.493",0,0,69.56105,171.21248,0,0,0,0,0,0,0,53.317703,137.50206,64.43104,0,105.937195,0,154.38338,107.02519,106.17352,233.12206,189.18365,207.96988,193.40448,1398.7871,1566.826,1608.023,1704.866,0,111.46791,74.285324,0,179.85046,93.28758,0,0,0,0,0,318.80493,230.91959,186.76755,120.190735,191.41208,105.07608,0,164.13062,172.18066,0,0,0,0,333.31998,440.36307,0,502.16156,128.38254,0,100.21181,83.20466,55.647713,0,39.901615,50.41708,93.8736,129.05165,66.90331,0,0,0,71.67913,121.265594,0,0,0,0
"188_113.034_4.789",35.49347,40.728477,0,49.913296,48.122234,40.6814,0,55.802536,56.081886,114.62435,154.33717,128.62173,200.34157,222.21707,199.60551,179.8176,184.23596,190.18474,202.27426,149.949,249.37172,180.01389,148.32008,199.3658,345.357,356.76746,652.916,448.95502,302.0153,325.0517,336.8791,303.9068,165.47246,215.94933,168.09952,131.1012,269.97247,281.78262,329.8349,238.53928,354.506,350.64532,337.46304,357.3692,639.8097,517.58594,489.17886,498.5855,170.1417,201.89424,200.83455,191.62921,367.10107,373.1293,332.88733,496.8288,611.6525,637.1594,748.8413,616.32275,339.6676,450.6919,476.14618,444.89868,701.131,743.6401,509.7788,598.9771,338.0736,352.27197,344.14703,274.6712,617.35706,641.6008,365.84253,729.5688
"2250_113.059_8.129",1001.64636,874.5152,998.89246,768.18445,612.7774,683.79065,739.2013,798.5404,2201.517,1826.2122,1764.5978,1618.918,1793.813,1795.2129,1655.1305,1823.8896,2741.2747,2936.0715,2272.8755,2237.0088,2379.3813,2187.6377,2553.0537,2477.4978,3459.9934,2910.79,2921.3147,3423.4478,2843.1313,2759.307,2172.8623,2697.6843,2041.1671,2186.2256,1968.8535,1691.522,3464.0164,2837.1277,3723.3926,3367.6199,0,12.940504,12.548183,0,4365.7026,4049.5532,4026.9746,3890.6123,1886.4421,1526.9017,1867.8069,1479.0217,2725.725,3157.9502,2863.7117,2462.0793,0,0,0,11.837278,5.711462,0,0,0,0,0,0,0,2670.2644,2668.0442,2436.7998,3583.795,6.8696604,11.738623,0,23.906004
"2365_113.961_8.184",155.31915,667.9376,701.9477,851.2792,1440.4841,1421.3209,565.26935,1318.9675,1216.393,360.45035,2192.78,1128.9952,391.66592,762.4068,1402.941,2590.8784,2428.1394,432.04593,550.2849,492.95068,392.65186,213.64465,688.9554,423.793,472.64056,472.71344,363.3806,482.1847,546.3848,247.30966,255.72006,269.97394,1855.5863,518.6848,2066.3076,1301.655,1619.1636,413.95657,245.77704,424.83356,0,43.92822,32.649437,79.594284,402.74893,286.8413,396.14404,439.87552,641.7602,2092.3413,1956.7207,645.4617,447.03674,509.1796,399.25763,243.50183,53.911446,55.179943,66.23322,0,17.304815,46.67308,35.034275,48.47184,33.08146,49.879936,24.95715,0,216.35802,465.6493,560.3104,241.01373,52.59498,72.949974,54.1138,0
"35_114.091_2.55",0,7.5641365,0,0,0,17.292526,19.493183,1.3157587,0,0,9.789757,0,35.44271,0,0,0,0,0,0,0,0,0,14.797734,0,25.199953,39.199333,64.06245,0,13.58252,0,0,0,0,30.641148,13.042549,6.795313,13.441801,14.296158,0,16.361097,0,0,0,460.0103,22.781477,11.454395,0,19.369303,33.279327,26.316647,0,32.445274,29.716831,0,0,0,0,253.15787,234.55617,353.52893,0,567.814,2680.1401,0,2913.5488,0,0,2902.2214,0,20.60133,33.195972,0,0,147.48422,214.50333,0
"162_114.091_4.611",0,17.30249,0,0,0,23.532337,33.23756,30.006119,9.504255,0,0,0,61.143593,51.055695,0,51.22759,0,8.852165,13.097292,0,0,53.741043,36.988556,60.780037,0,92.14005,86.67171,53.671013,45.42588,93.20769,61.653027,66.04726,44.17353,63.45517,49.64632,22.687458,0,34.781372,47.858704,18.145332,1351.7274,1307.143,1268.7626,1406.1282,31.928955,27.2812,0,21.166286,38.93839,55.17242,37.867546,0,77.93143,89.33644,86.2628,62.578896,1029.9098,1093.2404,860.52295,1002.1421,2268.287,2129.9297,2331.994,2274.783,1866.4254,2077.5354,2009.2084,1990.3364,96.20798,120.31563,92.96722,56.79708,896.39215,541.8046,722.6521,871.887
"506_114.091_5.951",220.89551,175.63235,0,165.53241,154.13287,254.15514,184.9521,202.462,253.6593,254.63489,322.96216,222.07898,292.71127,283.8773,278.88147,325.78174,101.70538,282.10083,179.46216,185.43915,275.5041,230.77042,301.841,221.54794,321.57928,313.69693,183.60492,405.95526,248.20685,259.60565,270.94672,198.68756,289.44666,219.86032,0,227.0708,298.30017,301.88132,195.67676,268.63828,252.80484,278.63916,305.08643,345.99072,1025.854,1106.3125,878.8024,1172.7721,677.74475,984.1833,346.58545,333.938,1200.1449,885.0774,1205.7177,1145.9985,380.1975,360.6882,337.19327,353.95892,354.01697,319.70825,377.61316,344.62585,791.2223,547.40076,980.02905,361.10046,980.5122,1225.0198,1111.536,898.74713,669.2761,976.56946,0,474.38724
"56_114.091_2.895",7.661214,0,9.526434,0,11.704687,0,0,0,25.035078,28.100357,0,0,38.019764,0,26.690147,11.529307,0,17.413647,0,0,21.997498,39.24754,0,0,96.66427,88.86299,86.943924,0,0,36.820408,0,39.683807,32.22915,22.676105,37.010155,50.695946,39.37018,56.629326,53.014175,72.55038,326.20227,0,0,349.57153,100.263115,69.68708,0,47.94812,20.03957,0,0,0,87.07568,66.391594,0,0,2434.8284,3078.442,3021.55,3184.2869,4558.308,4230.3555,1536.8999,4605.561,1340.9833,4495.7065,4359.718,1373.8778,37.09189,58.36782,54.85193,64.603485,2537.9192,575.5415,2564.8672,2647.536
"236_114.52_5.063",23.043892,16.442513,0,0,21.76886,0,0,38.52304,54.328423,37.68093,62.36428,65.970474,164.03293,180.17647,100.97549,114.810074,11.762443,13.87057,0,36.464058,114.23595,0,125.71231,0,182.32912,0,216.2774,133.63611,63.35262,0,43.656937,59.96505,46.53814,129.46811,0,79.617004,0,52.024227,0,0,53.11837,39.71682,41.043095,25.32819,138.90916,162.97415,166.37042,0,423.73654,400.08917,1047.6962,992.31177,84.88542,0,116.6444,0,107.688736,157.33994,203.93275,205.3184,111.877106,120.17678,58.40904,86.43043,97.33856,76.53195,65.88832,79.73327,90.59892,154.92267,98.79143,92.01198,279.28677,258.6533,279.79193,211.00623
"135_115.528_4.272",40.094,34.65526,35.282448,23.121687,100.5732,88.89941,0,85.832436,95.450424,0,0,137.58698,0,61.37085,0,0,48.12651,60.415947,85.19834,78.65619,154.44768,0,0,157.91428,311.7652,283.91095,345.48016,360.18954,0,105.933914,58.860355,126.33217,0,104.7787,125.90475,171.06766,99.79117,210.22905,0,112.39853,85.58652,108.786964,0,110.164604,299.99466,164.76692,0,0,0,0,187.74313,125.092926,0,270.25052,0,0,428.5616,379.4496,339.27484,347.6784,130.29752,106.81667,139.49243,130.63687,251.31042,0,0,256.5696,228.38475,295.3244,0,0,375.99246,381.5708,1181.2075,348.87537
